Class,Baseline R@1,Baseline R@5,Universal R@1,Universal R@5,Class-Specific R@1,Class-Specific R@5
airplane,0.86,0.99,0.86,0.99,0.88,0.99
automobile,0.89,1.00,0.89,1.00,0.90,1.00
bird,0.84,0.99,0.85,0.99,0.86,0.99
cat,0.83,0.99,0.84,0.98,0.85,0.99
deer,0.86,1.00,0.86,0.99,0.88,1.00
dog,0.82,0.98,0.82,0.97,0.84,0.98
frog,0.87,0.99,0.88,0.99,0.89,0.99
horse,0.84,0.99,0.85,0.98,0.87,0.99
ship,0.89,1.00,0.90,1.00,0.91,1.00
truck,0.88,1.00,0.89,1.00,0.90,1.00
Macro Avg,0.851,0.996,0.855,0.992,0.863,0.997
